Year,Rank,NOC,Gold,Silver,Bronze,Total,Country_x,Country_Mapped,Country_y,GDP_Per_Capita,Total_Population,Active_Population_Total
2004,8,Italy,10,11,11,32,Italy,Italy,Italy,31915.0,58166682.0,38533763.0
2004,21,Canada,3,6,3,12,Canada,Canada,Canada,36415.0,32242732.0,22326837.0
2004,20,Spain,3,11,6,20,Spain,Spain,Spain,26399.0,43653155.0,30098145.0
2004,35,Jamaica,2,1,2,5,Jamaica,Jamaica,Jamaica,4200.0,2687066.0,1711611.0
2004,50,Azerbaijan,1,0,4,5,Azerbaijan,Azerbaijan,Azerbaijan,1530.0,8391850.0,5731548.0
2004,49,Zimbabwe,1,1,1,3,Zimbabwe,Zimbabwe,Zimbabwe,588.0,12483432.0,6851394.0
2004,48,Indonesia,1,1,2,4,Indonesia,Indonesia,Indonesia,1330.0,230871650.0,151013392.0
2004,46,Switzerland,1,1,3,5,Switzerland,Switzerland,Switzerland,56310.0,7437115.0,5057797.0
2004,61,Finland,0,2,0,2,Finland,Finland,Finland,39040.0,5246096.0,3499375.0
2004,60,Portugal,0,2,1,3,Portugal,Portugal,Portugal,18737.0,10503330.0,7017174.0
2004,43,South Africa,1,3,2,6,South Africa,South Africa,South Africa,5893.0,49490033.0,31592535.0
2004,58,Latvia,0,4,0,4,Latvia,Latvia,Latvia,7614.0,2238799.0,1531395.0
2004,54,United Arab Emirates,1,0,0,1,United Arab Emirates,United Arab Emirates,United Arab Emirates,42742.0,4664790.0,3766458.0
2004,54,Dominican Republic,1,0,0,1,Dominican Republic,Dominican Republic,Dominican Republic,3875.0,9225034.0,5725383.0
2004,54,Cameroon,1,0,0,1,Cameroon,Cameroon,Cameroon,1129.0,17074594.0,9007186.0
2004,68,Nigeria,0,0,2,2,Nigeria,Nigeria,Nigeria,1254.0,145017253.0,76850136.0
2004,68,Colombia,0,0,2,2,Colombia,Colombia,Colombia,3449.0,42128977.0,27226917.0
2004,71,Syria,0,0,1,1,Syria,Syrian Arab Republic,Syrian Arab Republic,1528.0,18814091.0,10820833.0
2004,71,Mongolia,0,0,1,1,Mongolia,Mongolia,Mongolia,1143.0,2536407.0,1687547.0
2004,71,Eritrea,0,0,1,1,Eritrea,Eritrea,Eritrea,388.0,2661215.0,1428590.0
2004,59,Mexico,0,3,1,4,Mexico,Mexico,Mexico,8702.0,105811504.0,65870973.0
2004,71,Trinidad and Tobago,0,0,1,1,Trinidad and Tobago,Trinidad and Tobago,Trinidad and Tobago,12363.0,1294494.0,939818.0
2004,32,Georgia,2,2,0,4,Georgia,Georgia,Georgia,1703.0,3902469.0,2582162.0
2004,33,Bulgaria,2,1,9,12,Bulgaria,Bulgaria,Bulgaria,3822.0,7658972.0,5284146.0
2004,34,Denmark,2,1,5,8,Denmark,Denmark,Denmark,48648.0,5419432.0,3584505.0
2004,19,Sweden,4,2,1,7,Sweden,Sweden,Sweden,43331.0,9029572.0,5897414.0
2004,35,Uzbekistan,2,1,2,5,Uzbekistan,Uzbekistan,Uzbekistan,643.0,26356975.0,16537535.0
2004,37,Morocco,2,1,0,3,Morocco,Morocco,Morocco,2055.0,30358144.0,19436470.0
